theta0,theta1
0,0
6353.51,-0.00021449
6375.09,-0.00042788
6396.57,-0.000640178
6417.96,-0.000851388
6439.25,-0.00106152
6460.45,-0.00127057
6481.55,-0.00147855
6502.55,-0.00168546
6523.46,-0.00189132
6544.28,-0.00209612
6565,-0.00229987
6585.63,-0.00250258
6606.16,-0.00270425
6626.6,-0.00290488
6646.95,-0.00310449
6667.21,-0.00330308
6687.37,-0.00350064
6707.45,-0.0036972
6727.43,-0.00389275
6747.32,-0.0040873
6767.12,-0.00428085
6786.83,-0.00447341
6806.45,-0.00466498
6825.99,-0.00485557
6845.43,-0.00504519
6864.78,-0.00523383
6884.05,-0.00542151
6903.22,-0.00560822
6922.31,-0.00579398
6941.32,-0.00597879
6960.23,-0.00616265
6979.06,-0.00634557
6997.8,-0.00652755
7016.46,-0.0067086
7035.03,-0.00688872
7053.51,-0.00706792
7071.91,-0.0072462
7090.23,-0.00742357
7108.46,-0.00760003
7126.61,-0.00777558
7144.67,-0.00795024
7162.65,-0.008124
7180.55,-0.00829687
7198.36,-0.00846886
7216.1,-0.00863996
7233.75,-0.00881019
7251.32,-0.00897954
7268.8,-0.00914803
7286.21,-0.00931566
7303.54,-0.00948242
7320.78,-0.00964833
7337.95,-0.0098134
7355.04,-0.00997761
7372.04,-0.010141
7388.97,-0.0103035
7405.82,-0.0104652
7422.59,-0.0106261
7439.28,-0.0107862
7455.9,-0.0109454
7472.43,-0.0111038
7488.9,-0.0112614
7505.28,-0.0114182
7521.59,-0.0115742
7537.82,-0.0117294
7553.97,-0.0118838
7570.05,-0.0120374
7586.06,-0.0121902
7601.99,-0.0123423
7617.84,-0.0124935
7633.62,-0.012644
7649.33,-0.0127937
7664.96,-0.0129427
7680.52,-0.0130909
7696.01,-0.0132383
7711.43,-0.013385
7726.77,-0.0135309
7742.04,-0.0136761
7757.24,-0.0138205
7772.36,-0.0139642
7787.42,-0.0141071
7802.4,-0.0142493
7817.32,-0.0143908
7832.16,-0.0145316
7846.93,-0.0146716
7861.64,-0.014811
7876.27,-0.0149496
7890.84,-0.0150875
7905.33,-0.0152247
7919.76,-0.0153612
7934.12,-0.015497
7948.42,-0.0156321
7962.64,-0.0157665
7976.8,-0.0159002
7990.89,-0.0160332
8004.91,-0.0161656
8018.87,-0.0162973
8032.76,-0.0164283
8046.58,-0.0165586
8060.34,-0.0166883
8074.04,-0.0168173
8087.67,-0.0169456
8101.23,-0.0170733
8114.73,-0.0172003
8128.17,-0.0173267
8141.54,-0.0174524
8154.84,-0.0175775
8168.09,-0.0177019
8181.27,-0.0178257
8194.39,-0.0179489
8207.45,-0.0180714
8220.44,-0.0181933
8233.37,-0.0183146
8246.24,-0.0184353
8259.05,-0.0185553
8271.8,-0.0186748
8284.48,-0.0187936
8297.11,-0.0189118
8309.68,-0.0190294
8322.18,-0.0191464
8334.63,-0.0192628
8347.01,-0.0193786
8359.34,-0.0194938
8371.61,-0.0196085
8383.82,-0.0197225
8395.97,-0.0198359
8408.06,-0.0199488
8420.09,-0.0200611
8432.07,-0.0201728
8443.99,-0.020284
8455.85,-0.0203945
8467.65,-0.0205046
8479.4,-0.020614
8491.09,-0.0207229
8502.73,-0.0208312
8514.31,-0.020939
8525.83,-0.0210462
8537.3,-0.0211529
8548.71,-0.021259
8560.07,-0.0213646
8571.37,-0.0214696
8582.62,-0.0215741
8593.82,-0.0216781
8604.96,-0.0217815
8616.04,-0.0218844
8627.08,-0.0219868
8638.06,-0.0220887
8648.98,-0.02219
8659.86,-0.0222908
8670.68,-0.0223911
8681.45,-0.0224909
8692.17,-0.0225901
8702.83,-0.0226889
8713.44,-0.0227872
8724.01,-0.0228849
8734.52,-0.0229822
8744.98,-0.0230789
8755.39,-0.0231752
8765.75,-0.0232709
8776.06,-0.0233662
8786.31,-0.023461
8796.52,-0.0235553
8806.68,-0.0236491
8816.79,-0.0237425
8826.85,-0.0238353
8836.87,-0.0239277
8846.83,-0.0240196
8856.75,-0.024111
8866.61,-0.024202
8876.43,-0.0242925
8886.2,-0.0243826
8895.93,-0.0244721
8905.6,-0.0245613
8915.23,-0.0246499
8924.82,-0.0247381
8934.35,-0.0248259
8943.84,-0.0249132
8953.28,-0.0250001
8962.68,-0.0250865
8972.03,-0.0251725
8981.34,-0.025258
8990.6,-0.0253431
8999.82,-0.0254277
9008.99,-0.025512
9018.11,-0.0255958
9027.19,-0.0256791
9036.23,-0.0257621
9045.22,-0.0258446
9054.17,-0.0259267
9063.07,-0.0260083
9071.94,-0.0260896
9080.75,-0.0261704
9089.53,-0.0262508
9098.26,-0.0263308
9106.95,-0.0264104
9115.6,-0.0264896
9124.2,-0.0265684
9132.76,-0.0266468
9141.28,-0.0267248
9149.76,-0.0268024
9158.2,-0.0268795
9166.59,-0.0269563
9174.95,-0.0270327
9183.26,-0.0271087
9191.54,-0.0271843
9199.77,-0.0272596
9207.96,-0.0273344
9216.11,-0.0274089
9224.22,-0.0274829
9232.29,-0.0275566
9240.33,-0.0276299
9248.32,-0.0277029
9256.27,-0.0277755
9264.19,-0.0278477
9272.06,-0.0279195
9279.9,-0.0279909
9287.7,-0.028062
9295.46,-0.0281328
9303.18,-0.0282031
9310.86,-0.0282731
9318.51,-0.0283428
9326.12,-0.0284121
9333.69,-0.028481
9341.22,-0.0285496
9348.72,-0.0286178
9356.18,-0.0286857
9363.6,-0.0287532
9370.98,-0.0288204
9378.33,-0.0288873
9385.65,-0.0289538
9392.92,-0.0290199
9400.17,-0.0290858
9407.37,-0.0291512
9414.54,-0.0292164
9421.68,-0.0292812
9428.78,-0.0293457
9435.84,-0.0294099
9442.87,-0.0294737
9449.86,-0.0295372
9456.82,-0.0296003
9463.75,-0.0296632
9470.64,-0.0297257
9477.5,-0.0297879
9484.32,-0.0298498
9491.11,-0.0299114
9497.87,-0.0299726
9504.59,-0.0300336
9511.28,-0.0300942
9517.94,-0.0301545
9524.56,-0.0302145
9531.15,-0.0302742
9537.71,-0.0303336
9544.24,-0.0303927
9550.73,-0.0304515
9557.19,-0.03051
9563.62,-0.0305682
9570.02,-0.0306261
9576.38,-0.0306837
9582.72,-0.030741
9589.02,-0.030798
9595.29,-0.0308547
9601.53,-0.0309111
9607.74,-0.0309673
9613.92,-0.0310231
9620.07,-0.0310787
9626.19,-0.0311339
9632.27,-0.0311889
9638.33,-0.0312436
9644.36,-0.0312981
9650.35,-0.0313522
9656.32,-0.0314061
9662.26,-0.0314597
9668.17,-0.031513
9674.04,-0.0315661
9679.89,-0.0316188
9685.71,-0.0316714
9691.5,-0.0317236
9697.27,-0.0317756
9703,-0.0318273
9708.71,-0.0318787
9714.38,-0.0319299
9720.03,-0.0319808
9725.65,-0.0320315
9731.24,-0.0320819
9736.81,-0.032132
9742.35,-0.0321819
9747.86,-0.0322315
9753.34,-0.0322809
9758.79,-0.03233
9764.22,-0.0323788
9769.62,-0.0324275
9774.99,-0.0324758
9780.34,-0.0325239
9785.66,-0.0325718
9790.96,-0.0326194
9796.22,-0.0326668
9801.46,-0.032714
9806.68,-0.0327609
9811.87,-0.0328075
9817.03,-0.0328539
9822.17,-0.0329001
9827.28,-0.0329461
9832.37,-0.0329918
9837.43,-0.0330372
9842.46,-0.0330825
9847.47,-0.0331275
9852.46,-0.0331723
9857.42,-0.0332168
9862.35,-0.0332611
9867.26,-0.0333052
9872.15,-0.0333491
9877.01,-0.0333928
9881.85,-0.0334362
9886.66,-0.0334794
9891.45,-0.0335223
9896.22,-0.0335651
9900.96,-0.0336076
9905.68,-0.03365
9910.37,-0.0336921
9915.04,-0.033734
9919.69,-0.0337756
9924.32,-0.0338171
9928.92,-0.0338583
9933.5,-0.0338994
9938.05,-0.0339402
9942.58,-0.0339808
9947.09,-0.0340212
9951.58,-0.0340614
9956.04,-0.0341014
9960.49,-0.0341412
9964.91,-0.0341808
9969.31,-0.0342202
9973.68,-0.0342594
9978.04,-0.0342983
9982.37,-0.0343371
9986.68,-0.0343757
9990.97,-0.0344141
9995.23,-0.0344523
9999.48,-0.0344903
10003.7,-0.0345281
10007.9,-0.0345657
10012.1,-0.0346031
10016.3,-0.0346403
10020.4,-0.0346773
10024.5,-0.0347142
10028.6,-0.0347508
10032.7,-0.0347873
10036.7,-0.0348236
10040.8,-0.0348596
10044.8,-0.0348956
10048.8,-0.0349313
10052.8,-0.0349668
10056.7,-0.0350022
10060.7,-0.0350373
10064.6,-0.0350723
10068.5,-0.0351072
10072.4,-0.0351418
10076.2,-0.0351763
10080.1,-0.0352105
10083.9,-0.0352446
10087.7,-0.0352786
10091.5,-0.0353123
10095.2,-0.0353459
10099,-0.0353793
10102.7,-0.0354126
10106.4,-0.0354457
10110.1,-0.0354786
10113.8,-0.0355113
10117.4,-0.0355439
10121.1,-0.0355763
10124.7,-0.0356085
10128.3,-0.0356406
10131.8,-0.0356725
10135.4,-0.0357042
10138.9,-0.0357358
10142.5,-0.0357672
10146,-0.0357985
10149.5,-0.0358296
10152.9,-0.0358605
10156.4,-0.0358913
10159.8,-0.0359219
10163.2,-0.0359524
10166.6,-0.0359827
10170,-0.0360128
10173.4,-0.0360428
10176.7,-0.0360727
10180.1,-0.0361024
10183.4,-0.0361319
10186.7,-0.0361613
10190,-0.0361905
10193.3,-0.0362196
10196.5,-0.0362485
10199.7,-0.0362773
10203,-0.036306
10206.2,-0.0363345
10209.3,-0.0363628
10212.5,-0.036391
10215.7,-0.0364191
10218.8,-0.036447
10221.9,-0.0364748
10225,-0.0365024
10228.1,-0.0365299
10231.2,-0.0365573
10234.3,-0.0365845
10237.3,-0.0366115
10240.3,-0.0366385
10243.3,-0.0366653
10246.3,-0.0366919
10249.3,-0.0367184
10252.3,-0.0367448
10255.2,-0.0367711
10258.2,-0.0367972
10261.1,-0.0368232
10264,-0.036849
10266.9,-0.0368747
10269.8,-0.0369003
10272.7,-0.0369257
10275.5,-0.0369511
10278.3,-0.0369763
10281.2,-0.0370013
10284,-0.0370263
10286.8,-0.0370511
10289.5,-0.0370757
10292.3,-0.0371003
10295.1,-0.0371247
10297.8,-0.037149
10300.5,-0.0371732
10303.2,-0.0371973
10305.9,-0.0372212
10308.6,-0.037245
10311.3,-0.0372687
10313.9,-0.0372922
10316.6,-0.0373157
10319.2,-0.037339
10321.8,-0.0373622
10324.4,-0.0373853
10327,-0.0374083
10329.6,-0.0374311
10332.2,-0.0374538
10334.7,-0.0374765
10337.2,-0.037499
10339.8,-0.0375213
10342.3,-0.0375436
10344.8,-0.0375658
10347.3,-0.0375878
10349.7,-0.0376097
10352.2,-0.0376316
10354.6,-0.0376533
10357.1,-0.0376749
10359.5,-0.0376963
10361.9,-0.0377177
10364.3,-0.037739
10366.7,-0.0377601
10369.1,-0.0377812
10371.4,-0.0378021
10373.8,-0.037823
10376.1,-0.0378437
10378.5,-0.0378643
10380.8,-0.0378848
10383.1,-0.0379052
10385.4,-0.0379255
10387.6,-0.0379457
10389.9,-0.0379658
10392.2,-0.0379858
10394.4,-0.0380057
10396.7,-0.0380255
10398.9,-0.0380452
10401.1,-0.0380648
10403.3,-0.0380842
10405.5,-0.0381036
10407.7,-0.0381229
10409.8,-0.0381421
10412,-0.0381612
10414.1,-0.0381802
10416.3,-0.0381991
10418.4,-0.0382179
10420.5,-0.0382366
10422.6,-0.0382552
10424.7,-0.0382737
10426.8,-0.0382921
10428.8,-0.0383104
10430.9,-0.0383287
10433,-0.0383468
10435,-0.0383648
10437,-0.0383828
10439,-0.0384006
10441.1,-0.0384184
10443.1,-0.0384361
10445,-0.0384537
10447,-0.0384712
10449,-0.0384886
10450.9,-0.0385059
10452.9,-0.0385231
10454.8,-0.0385402
10456.8,-0.0385573
10458.7,-0.0385743
10460.6,-0.0385911
10462.5,-0.0386079
10464.4,-0.0386246
10466.3,-0.0386412
10468.1,-0.0386578
10470,-0.0386742
10471.8,-0.0386906
10473.7,-0.0387069
10475.5,-0.0387231
10477.3,-0.0387392
10479.2,-0.0387552
10481,-0.0387712
10482.8,-0.038787
10484.5,-0.0388028
10486.3,-0.0388185
10488.1,-0.0388341
10489.8,-0.0388497
10491.6,-0.0388652
10493.3,-0.0388805
10495.1,-0.0388958
10496.8,-0.0389111
10498.5,-0.0389262
10500.2,-0.0389413
10501.9,-0.0389563
10503.6,-0.0389712
10505.3,-0.0389861
10507,-0.0390008
10508.6,-0.0390155
10510.3,-0.0390301
10511.9,-0.0390447
10513.6,-0.0390591
10515.2,-0.0390735
10516.8,-0.0390878
10518.4,-0.0391021
10520,-0.0391163
10521.6,-0.0391304
10523.2,-0.0391444
10524.8,-0.0391583
10526.4,-0.0391722
10527.9,-0.039186
10529.5,-0.0391998
10531.1,-0.0392135
10532.6,-0.0392271
10534.1,-0.0392406
10535.7,-0.039254
10537.2,-0.0392674
10538.7,-0.0392808
10540.2,-0.039294
10541.7,-0.0393072
10543.2,-0.0393203
10544.6,-0.0393334
10546.1,-0.0393464
10547.6,-0.0393593
10549,-0.0393721
10550.5,-0.0393849
10551.9,-0.0393977
10553.4,-0.0394103
10554.8,-0.0394229
10556.2,-0.0394354
10557.6,-0.0394479
10559,-0.0394603
10560.4,-0.0394726
10561.8,-0.0394849
10563.2,-0.0394971
10564.6,-0.0395093
10566,-0.0395214
10567.3,-0.0395334
10568.7,-0.0395453
10570,-0.0395572
10571.4,-0.0395691
10572.7,-0.0395809
10574,-0.0395926
10575.4,-0.0396042
10576.7,-0.0396158
10578,-0.0396274
10579.3,-0.0396389
10580.6,-0.0396503
10581.9,-0.0396616
10583.2,-0.039673
10584.4,-0.0396842
10585.7,-0.0396954
10587,-0.0397065
10588.2,-0.0397176
10589.5,-0.0397286
10590.7,-0.0397396
10592,-0.0397505
10593.2,-0.0397613
10594.4,-0.0397721
10595.6,-0.0397829
10596.9,-0.0397936
10598.1,-0.0398042
10599.3,-0.0398148
10600.5,-0.0398253
10601.6,-0.0398357
10602.8,-0.0398462
10604,-0.0398565
10605.2,-0.0398668
10606.3,-0.0398771
10607.5,-0.0398873
10608.7,-0.0398974
10609.8,-0.0399075
10610.9,-0.0399176
